OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GAOFEN-10R,2019-066A,2026-09-12T22:18:27.103104,14.83162261,.00049291,98.0588,210.1878,196.4421,163.6633,0,U,44622,999,37538,.10589325E-3,.809E-5,0
CARTOSAT-3,2019-081A,2026-09-12T22:52:50.978784,15.19201896,.001081,97.4223,316.3642,201.4981,158.5801,0,U,44804,999,37679,.78860019E-4,.1593E-4,0
GAOFEN-12 01,2019-082A,2026-09-13T00:14:02.533056,14.80517101,.00024407,97.8147,260.0917,97.4662,262.6828,0,U,44819,999,36708,.37874763E-4,.239E-5,0
CSG-1,2019-092A,2026-09-12T22:48:09.414144,14.82156404,.00014089,97.8917,78.3035,86.1489,273.9885,0,U,44873,999,36447,.38479902E-4,.254E-5,0
NEMO-HD,2020-061F,2026-09-12T22:20:48.960672,15.46171518,.00026306,97.1828,317.0528,89.1756,270.9795,0,U,46277,999,33553,.16747833E-3,.813E-4,0
SENTINEL-6A,2020-086A,2026-09-12T16:28:49.396512,12.80929282,.00078955,66.0425,313.3159,268.9745,91.0365,0,U,46984,999,27153,.11971399E-3,-.33E-6,0
CAS500-1,2021-022A,2026-09-12T22:32:02.618016,15.20187959,.00049389,97.3766,149.3516,1.5708,358.5542,0,U,47932,999,30409,.2099279E-3,.448E-4,0
GAOFEN-12 02,2021-026A,2026-09-12T23:06:13.094784,14.80353451,.00038743,97.9994,253.8154,325.8681,34.2282,0,U,48079,999,29474,.3873325E-4,.243E-5,0
PLEIADES NEO 3,2021-034A,2026-09-12T23:28:04.128384,14.81674206,.00015089,97.8957,329.4824,86.0873,274.0512,0,U,48268,999,29065,.8158246E-4,.59E-5,0
PLEIADES NEO 4,2021-073E,2026-09-12T22:39:25.767072,14.81671558,.00015088,97.8954,329.4452,86.7895,273.3490,0,U,49070,999,27436,-.26734232E-4,-.262E-5,0
LANDSAT 9,2021-088A,2026-09-12T22:57:30.278880,14.57110134,.00014887,98.2205,325.0363,100.3103,259.8264,0,U,49260,999,26378,.58033332E-4,.216E-5,0
CSG-2,2022-008A,2026-09-12T23:36:43.580736,14.82149884,.00013834,97.8906,78.3283,81.7678,278.3692,0,U,51444,999,24959,-.15629572E-4,-.177E-5,0
GAOFEN-12 03,2022-069A,2026-09-12T22:31:58.711008,14.80150434,.00009367,97.8137,141.5410,109.7675,250.3639,0,U,52912,999,22759,.99245176E-4,.703E-5,0
SWOT,2022-173A,2026-09-12T21:02:49.380288,14.00171313,.00001941,77.6077,276.9356,196.5900,163.5245,0,U,54754,999,19142,.59305048E-4,.85E-6,0
GAOFEN-12 04,2023-123A,2026-09-12T23:17:16.569024,14.79862372,.00023283,97.9066,172.6487,158.6011,201.5299,0,U,57654,999,16561,.90475209E-4,.631E-5,0
PARS 1,2024-039Q,2026-09-12T23:37:40.770624,15.47380441,.00101063,97.4917,239.8274,145.2401,214.9511,0,U,59065,999,14221,.18153154E-3,.9207E-4,0
